"119.465430,28.613729",遂昌黄金谷漂流
"121.794831,29.803986",天童禅寺
"120.699366,27.994267",温州冰雪节景区
"119.614279,30.448804",藏龙百瀑漂流
"121.259059,29.184048",龙马漂流
"119.533300,29.123112",巨龙温泉水世界
"120.991618,29.265712",天台龙穿峡漂流
"121.410840,29.639010",明星湾水上世界
"119.103559,30.190713",葫芦峡漂流
"120.484562,28.029481",泽雅龙溪漂流
"122.769461,30.131988",东福山
"120.761913,30.828843",浙江嘉兴欢乐世界
"120.576958,27.646184",温州平阳开心谷游乐园
"120.209956,30.239559",东明山森林公园
"120.095159,30.876199",南太湖游船夜游观光
"119.140999,29.608499",千岛湖红叶湾皮划艇
"120.381569,27.480010",日月潭农庄
"120.923817,30.801891",新西塘越里
"120.142162,30.225513",太子湾公园
"122.423080,29.919593",朱家尖漳州渔村出海捕鱼
"120.204290,29.307838",春秋唐园
"119.491553,30.493383",浙北峡谷漂流
"119.039063,29.624677",千岛湖丽景酒店
"119.604861,30.441191",大溪峡谷皮筏漂流
"121.616944,29.857306",宁波文化广场冰雪文化节
"119.396731,29.069617",九峰水上乐园
"120.804896,28.479277",林坑
"122.391610,30.008446",佛顶山
"120.567086,30.099910",镜湖湿地儿童乐园
"122.226123,30.308707",鹿栏晴沙
0.0,金颐泉韩式汗蒸馆
"120.582914,29.992769",咸亨酒店
"118.937586,28.957354",衢州乐翻天水上乐园
"120.545792,27.579805",迷城密室逃脱
"121.092787,29.946931",梁弄邱家杨梅生态园
"120.301149,27.473690",玉龙湖水上乐园
"121.627417,29.918407",宁波帮博物馆
"119.644640,29.043660",金华体育中心欢乐水世界
"120.095369,30.340590",杭州西田城冰雪世界
"121.596799,29.823204",长乐汤城市温泉
"119.925526,29.873993",永安山户外拓展
"119.591201,30.457964",安吉风火轮乐园越野体验中心
"120.818074,29.082914",天台寒山漂流
"121.306123,28.656228",黄岩石窟
"121.553869,29.867635",天主教堂
"119.828571,28.907899",武义明招温泉国际大酒店
"121.318080,28.663130",黄岩梦幻部落游乐园
"120.155070,30.274084",杭州趣乐趣蹦床馆
0.0,武义武士山红色景区
"120.147181,28.861279",永康云溪村
"121.257933,30.167675",青瓦水台汗蒸时代
"121.139317,29.107957",天台龙官漂流
"121.410612,29.637614",西溪水上乐园
"120.577424,30.003558",绍兴东湖乌篷船
"120.219064,30.386145",皋亭山
"121.386814,28.569411",十里长街
0.0,蓝波湾
"119.028096,29.597931",千岛湖三叠纪古生物化石馆
"121.635098,29.911925",宁波大学
0.0,龙泉山
"120.144992,30.299178",小河直街历史文化街区
"120.560890,28.063397",温州东方仰义乡村俱乐部
"120.801222,28.579258",大寺基滑雪场
0.0,三门
"120.155070,30.274084",杭州欢乐战场3D真人秀CS酷玩基地
"120.094491,29.299056",鸡鸣山公园
"120.766915,30.717323",嘉兴植物园
"120.361535,28.697958",仙人谷漂流
"121.539314,29.867867",明秀大航海
"120.838624,28.133446",雁荡山峡谷漂流
"118.859457,28.970079",衢州三毛滑雪乐园
"120.206631,30.211261",泡泡体验馆
"121.149440,27.808439",大沙岙海滨浴场（仙叠岩）
"119.656297,29.106921",金海岸演艺大舞台
"121.550357,29.874556",宁波两只鸭子水上乐园
"121.550357,29.874556",宁波3D错觉艺术馆
"120.086823,30.894348",湖州3D艺术节
"120.075594,30.790650",梁希森林公园
"119.665460,27.592090",岭北森林公园
0.0,第二届义乌动漫同人祭
"121.174548,29.498506",虎尾峡漂流
"119.925867,31.151469",清泉自然科学探索园
"120.930720,30.211530",杭州湾萤火虫城堡
"120.089719,29.315744",银都酒店（游泳馆）
"120.221931,30.250921",杭州大剧院
"119.830300,29.860902",荻浦村
"120.555260,30.026950",绍兴梦享海洋公园
"121.397390,28.378369",温岭石夫人
"120.705544,27.910005",茶山极地真人CS
"120.112075,30.276450",“微湖私舫”西湖明珠号游船
"120.755486,30.746129",嘉兴古运河
0.0,超时空动物大冒险—高科技互动科普展
0.0,石城飞瀑
"121.123548,29.467569",新昌沙溪开口岩村蓝莓采摘
"119.163324,29.019279",飞龙动漫水上乐园
0.0,老君岛
"119.973910,30.305240",苕源农庄
0.0,飞龙山
"118.876902,28.959814",孔氏南宗家庙
"121.382496,29.403525",雁苍山漂流
"121.157362,30.047051",通济桥
"118.881747,28.356126",九龙山
"120.053268,29.302046",大东海水城
"121.539024,29.867928",爱乐萌·国际马戏嘉年华
"121.313149,28.310413",寒坑龙潭
"120.794617,30.739497",哈皮小孩浙江嘉兴中港城店
"120.893420,28.039581",贝贝乐儿童游乐园
0.0,久光
"120.051606,27.391293",徐岙底古村落
"121.116399,28.976975",羊岩山庄
0.0,王阳明墓
"119.629404,30.947265",长兴泗安薰衣草风情园
0.0,简慕室内真人CS
"119.711431,29.781963",桐庐海博大酒店
"120.981074,30.809734",云澜湾·水世界
"120.052098,29.707787",诸暨五泄奇幻皮筏漂流
"121.285537,29.790281",青云峡漂流
0.0,泗溪廊桥
"120.107495,30.299216",杭州喜悦疯BALL海洋球（城西银泰馆）
"121.961894,29.238448",宋皇城海滩
"121.352615,29.767303",它山堰
"121.318669,28.759669",永拓涌泉山庄营地
"120.188573,30.202830",金海岸东坡大舞台
0.0,枫康养生园
"121.502397,29.964699",宁波观澜休闲农庄
"120.580232,30.029752",绍兴镜湖首届光影艺术节
"120.201345,30.113930",智慧花乐园
"118.881747,28.356126",九龙山旅游度假区拓展基地
"119.910000,30.046210",天依蜂
"121.614269,29.817867",欧琳国际工业园
"120.059189,30.907047",湖州温泉高尔夫球会
0.0,孟老师汗蒸馆（江东店）
"121.414737,29.618345",奉化尚田草莓采摘基地
"120.914312,28.131051",白云尖
"120.246424,29.671170",诸暨龙太子欢乐谷
"121.004939,29.146758",热带雨林
"120.543252,30.406584",宰相府第风情街
"119.013355,29.592818",千岛湖鱼博馆
0.0,烟雨楼
0.0,鲸头
0.0,青浜
"119.927965,27.387634",胡氏大院
"120.002272,30.516311",云岫寺
0.0,泗溪东桥
"119.663358,29.098313",八咏公园
"121.024059,30.701241",江南民俗风情馆
"121.830011,29.917602",2018宁波·尼斯国际嘉年华
"119.474269,30.266282",月亮湾漂流
"120.100683,30.269768",飞行梦想杭州模拟飞行中心
"120.524050,27.260687",渔寮
"119.606490,30.526760",荷花山
"120.488917,30.762269",乌村
"119.012723,29.592417",千岛湖水下古城
"120.484562,28.029481",泽雅漂流
"119.675250,30.619375",安吉观音堂滑雪场
"118.859457,28.970079",衢州大荫山森林穿越探险乐园
"119.525620,30.500496",安吉天目山漂流
0.0,莲花塘
"121.148699,28.340033",雁荡山冰雪游乐园
"121.583203,29.656910",横溪上任村樱桃采摘
"120.545845,30.399252",愤怒的小鸟乐园
"121.155564,27.849265",海悦城水乐园
0.0,东方水世界
"120.154928,30.209102",南宋官窑博物馆
"120.138508,29.622660",斗岩
"121.688919,29.779976",南苑花博园景区
"120.580232,30.029752",绍兴城市游联票
"120.101621,30.951045",古木博物馆
"120.346026,28.885076",磐安龙溪漂流
"120.131540,30.227923",慧因高丽寺
"120.672131,30.511037",尚都温泉
"119.664578,28.792791",清风寨
"121.588844,28.346868",漩门湾水上乐园
"121.136110,29.739025",北溪漂流
"121.202352,29.719947",商量岗滑雪场
"120.631040,28.025089",江心西园
0.0,沃洲湖
"120.725571,27.924782",大罗山
"119.612666,28.750000",钱江源漂流
"120.439510,28.900608",磐安双峰漂流
"119.231740,29.361498",建德骑龙峡谷漂流
"120.680757,30.510659",海宁潮
0.0,大沙岙沙滩
"120.174618,29.416489",马溪漂流
0.0,柏坑峡谷漂流
0.0,手工活态馆
"119.604117,30.523688",荷花山漂流
"119.071910,29.776120",神仙洞
"119.140999,29.608499",千岛湖中心湖区休闲艇
"120.630017,28.025235",江心西园水上世界
0.0,西源峡谷奇幻漂流
"121.231267,29.588201",岩头古村漂流
0.0,北斗湾漂流
"121.430754,29.438618",宁海水上乐园
"122.424274,29.871542",情人岛景区
"120.052098,29.707787",五泄丛林探险漂流
"119.140999,29.608499",千岛湖4D影院
"121.135084,29.739061",天明山国家森林公园
"119.044036,29.605024",千岛湖鱼味馆（十字街总店）
"121.550357,29.874556",宁波奇e国
0.0,寿仙谷漂流
"120.087164,30.264077",中国湿地博物馆
"119.951640,29.888316",龙门山漂流
"120.985780,29.743977",覆卮山冰川漂流
"119.423633,30.312323",天目源漂流
"120.766066,30.732136",嘉兴卡乐福未来水世界
"119.054129,29.590906",建德农夫山泉生产基地
0.0,塘栖枇杷特色园
"119.170646,29.344734",建德果蔬乐园
"118.967563,28.568510",红星坪温泉
"121.102149,28.598800",香溪花谷景区
"120.580882,30.010658",绍兴黄酒文化体验中心
"120.165833,30.241236",吴山天风
"119.249230,30.120777",柳溪江漂流
"121.560602,29.875927",宁波老外滩
"120.821912,30.797959",湘家荡
"121.272219,28.422553",南嵩岩
"120.169116,30.239807",胡庆余堂中药博物馆
"119.140999,29.608499",千岛湖水之梦水上乐园
"121.105742,28.369577",花岩国家森林公园
"119.846286,27.881664",月老山滑雪场
"121.019468,30.697619",莫氏庄园陈列馆
"120.567086,30.099910",镜湖
"120.199121,30.189662",中国航天青少年科普展
0.0,北斗崖景区
"119.012271,29.592580",千岛湖冰雕馆
"121.279223,29.685644",溪口斑竹漂流
"121.177332,28.624082",中国柑橘博览园
"119.868390,27.846343",绿水尖滑雪场
"120.283931,27.600803",南雁荡山东西洞景区
"122.414305,29.885872",东沙沙滩烧烤篝火露营
"122.408612,29.877849",国际沙雕艺术广场
"120.658012,27.778285",九珠潭
"121.307121,29.503704",奉化大堰大泉坑漂流
"121.138307,29.435945",小黄山大峡谷漂流
0.0,新四军苏浙军区革命旧址群
"120.096951,30.246944",北高峰
"119.613464,29.204284",九龙谷
"120.163277,30.271347",武林广场
"120.577460,30.001957",仓桥直街历史街区
"119.221215,29.473493",新安江水电站
"120.044654,27.678933",浙南大峡谷飞云湖景区
"120.858741,29.151282",花漾星球太空农场
"119.112182,30.100152",洞天河漂流
"120.966235,28.105941",楠溪江漂流
"122.414305,29.885872",东沙
"120.610944,29.946560",香炉峰
"121.171276,30.307741",宁波大桥生态农庄旅游区
"119.810603,29.889530",海岸线皮划艇俱乐部
0.0,情人岛
"121.554194,29.869457",天一广场
"121.284087,28.068154",坎门后沙
0.0,南屏晚钟
"119.606533,30.610824",灵峰寺
"120.133898,30.266477",黄龙体育中心
"122.132585,30.080859",大洋山岛
"120.115192,28.699762",仙都竹筏漂流
"120.895967,30.945156",烧香港
0.0,灵岩
"121.087911,29.938351",梁弄雅潭杨梅园
"120.236271,29.700130",西施殿
"119.991619,29.198218",福劳尔花卉乐园
0.0,乐之翼儿童欢喜地
0.0,桃花寨休闲村
0.0,魔方亲子剧院
"121.136909,28.359678",雁荡五虎山漂流
"119.045050,29.603670",千岛湖九咆界漂流
"121.314842,29.630974",棠云西江漂流
"120.743105,28.298484",楠溪江狮子岩桃花源竹筏漂流
0.0,万松岭滑雪场
"120.076395,29.297230",稠州公园
"120.219886,30.136109",音乐喷泉
"120.999985,30.738996",嘉兴虫草博物馆
"119.601720,30.378325",秀水舫水上餐厅
"120.547821,30.405232",陈阁老宅
"120.546619,30.402584",花居雅舍
"120.161575,30.271069",杭州剧院
"119.107082,29.568033",黄山尖
"121.625412,29.929333",宁波帮文化旅游区
"121.172890,29.877330",余姚云河漂流
"119.140999,29.608499",千岛湖森林过山船
"120.171305,30.237697",杭州鼓楼
"121.087947,28.314350",筋竹涧农业观光园
"121.050890,29.821680",陈溪漂流
"119.087440,28.538010",汤沐园水上乐园
"120.169823,30.229830",南宋御街遗址
"119.008980,27.998232",瓯江漂流乐园
"119.505254,29.842536",神仙峰
"119.140999,29.608499",千岛湖骑游之家骑行
"120.695332,30.527893",徐志摩故居
"120.967078,28.126570",东塔公园
"119.628064,27.921607",封金山景区
"120.966235,28.105941",楠溪江石门台
"121.024980,29.164897",八仙岩景区
"120.690432,30.532466",海宁博物馆
"119.258806,30.089568",浙西三峡快艇
"119.916691,29.224072",孔氏家庙
"119.215463,29.367612",新安江水世界
"120.675249,30.534503",英国缤纷嘉年华（海宁站）
"121.413771,28.660561",名人蜡像馆
"121.399538,29.637816",钓鱼山庄水上乐园
"119.513838,30.695060",尚书休闲村落
"119.355000,29.357289",长乐古村
"120.266626,28.701182",天门坪漂流
"120.676092,30.449920",假日牧场
"118.898796,28.824786",衢州九龙湖太阳岛景区
"120.644220,27.831503",猎鹰动力滑翔伞基地
"121.597134,29.691716",酒埕岩仙人寨
"121.693930,29.228470",欢乐佳田农场
"118.467754,28.259579",龙游峡谷漂流
"120.557043,27.610952",西晋墓
0.0,万竹漂流
"118.385060,29.078110",未来音全息科技馆
"121.643670,28.310401",温岭洞下沙滩
"119.456636,30.446181",大石浪
"121.133176,30.606725",九龙山
0.0,国际木雕文化园
"118.835530,29.132423",九华山
"120.161993,30.277836",西泠印社
"120.140324,30.206620",江洋畈生态公园
"120.164715,30.277003",浙江自然博物馆
"120.280967,30.305002",左邻右舍休闲农庄
"121.548970,29.873914",鼓楼
"120.264253,30.183806",萧山
"120.925840,28.806730",括苍山
0.0,三门出海捕鱼
"120.050250,30.377667",良渚文化博物馆
"120.155070,30.274084",杭州花圃
"119.140999,29.608499",千岛湖泼水节
"120.159658,30.242722",美术馆
"119.847940,29.653487",水竹湾森林公园
"120.145824,30.327455",ASK密室逃脱
"120.155070,30.274084",杭州至舟山城际巴士
"120.585350,30.057500",镜湖湿地公园
0.0,麦咭主题儿童乐园
"119.621229,30.519929",天荒坪抽水蓄能电站
0.0,太美农场
"120.425222,29.643988",八字桥
"120.708114,27.967482",三垟湿地
0.0,熊言熊语DIY玩艺馆杭州店
"120.629399,28.001059",景山森林公园
"120.755486,30.746129",嘉兴子城
"120.891218,30.944548",尊闻堂
"120.128523,30.253162",林风眠故居
0.0,十里红妆
"121.532000,29.891321",香格里农业公园风景区
"120.312335,30.259058",中国水利博物馆
0.0,南宋瓦肆之宋宫倾城
"118.945629,29.034167",衢江区嗡嗡响农场
0.0,风波亭
"120.895214,30.947649",酒文化博物馆
"120.561640,27.850454",瑞安桐浦油菜花节
"120.105091,30.236756",法镜寺
"122.681979,30.196511",庙子湖岛
"120.967877,28.122192",乐成八景
"119.995385,30.155049",高坞休闲农庄
0.0,西楠溪
"121.135294,29.806053",白鲞洞漂流
"121.133176,30.606725",九龙山马会俱乐部
"120.968270,28.125890",东塔院砖塔
"121.723640,29.762334",绿野谷
"121.091489,28.359570",雁荡山夜色灵岩
"121.540415,29.869173",清真寺
"122.378171,29.978125",梵音洞
"120.699366,27.994267",温州府城
"119.717499,27.556459",圆州村
"120.594873,29.984221",塔山
"120.893877,30.945095",钮扣博物馆
"119.291343,29.312441",杭州建德大慈岩景区恺玥真人CS基地
"120.626197,28.017569",翠微山
"120.704244,28.008102",杨府山
"120.846271,29.960129",卧龙山
"119.658700,29.098592",婺州公园
"120.585863,30.002018",周恩来故居
"121.240834,28.416686",羊角洞
"120.784248,28.514506",四海山
"120.172951,30.270694",杭州体育馆
"119.274750,28.593881",汤显祖纪念馆
"120.890814,30.944785",西塘甜品-半米阳光
"119.093121,28.865576",幸福源漂流
"120.581343,30.000411",秋瑾纪念碑
"121.246383,29.413535",雪山欢乐谷
"120.135818,30.266481",黄龙极速冰雪世界
0.0,小白菜民俗风情园
"121.571467,30.082979",海珠山休闲山庄
"120.669558,27.998893",南塘水上游船
"120.775179,30.733088",铁哥们机器人主题公园
"121.045145,28.380689",显胜门
0.0,四0一洞天
"120.164880,30.251659",LINE FRIENDS 杭州湖滨银泰in77店
"120.131006,30.234950",杨公堤
"120.145500,30.325089",拱宸桥
"119.626286,30.885782",山伯伯四季果园
"120.179450,30.491509",琵琶湾生态农庄
"120.127690,30.490081",杨墩休闲农庄
"121.432149,28.655666",白云山
0.0,三都胜境
0.0,中国历代名媛馆
"122.405107,29.878512",十里金沙垂钓园
"118.877990,28.957170",府山公园
0.0,世界神秘部落村
"119.355851,28.599988",鞍山书院
"120.158000,30.239366",柳浪闻莺
"119.675250,30.619375",安吉落伽山
0.0,剡溪漂流
"119.841348,30.598902",德清莫干山沈园户外营地
"120.181883,29.301466",东阳中国木雕城
"121.966862,29.567232",宁波仙子湾（国际）滑翔乐园
"121.950351,29.219470",石浦渔港休闲捕鱼
"119.115867,29.598989",千岛湖珍珠半岛水上乐园
"120.138590,30.315828",桥西直街
"120.125954,30.218403",满觉陇
"121.146498,30.595963",外蒲山
"119.750973,29.219458",金华大佛寺
"120.144127,30.228923",苏东坡纪念馆
"122.207215,29.985295",舟山欢乐水世界
"119.035110,30.128730",清凉峰
"120.309139,30.420944",17楼密室逃脱
0.0,阳明故居
"121.129784,28.847375",临海东湖
"120.054740,30.182350",龙坞茶休闲村
0.0,卧龙峡
"120.666423,28.013901",中山公园
"120.175710,30.291200",杭州和平国际会展中心
"119.078129,29.606870",千岛湖小金山骑行营地
"119.654385,29.093157",樱花公园
"118.537646,28.543301",绿然腾农场
0.0,不肯去观音院
"120.183572,30.247960",龚自珍纪念馆
"119.227619,29.356755",建德皇爵洲际大酒店
"119.964215,30.543614",芙蓉谷
"120.661083,28.021542",海坛山
"121.050472,29.553537",华堂村
"121.119472,28.839669",巾山
"120.412803,27.504739",水景园
"119.961288,30.129510",西溪黑根蜡像馆
"121.403719,30.171518",城隍庙
"120.284761,27.764725",寨寮溪
"120.314607,30.075072",萧山杜家村杨梅采摘基地
"118.990174,30.026147",大明湖
"121.214060,29.680025",应梦名山
"121.579500,29.803166",天宫庄园真人CS
"121.454410,28.677760",东山公园
"121.548268,29.814963",宁波鄞州文化艺术中心
"119.603327,29.307450",兰溪马坞村杨梅庄园
"121.256997,29.806523",下塘野果园
"120.186365,30.332332",无境跆拳道馆（北景园店）
0.0,多宝讲寺
0.0,官岩山
0.0,应天塔
"121.629615,29.787662",韩岭老街
0.0,浙南猛洞河漂流
0.0,苏小小墓
"121.396172,28.369232",热带风暴水上乐园
"120.179992,30.287097",潘多拉3D自然嘉年华
"120.849290,30.666050",梅花洲水上乐园
"120.159425,30.210486",凤凰谷激情漂流
"119.550777,29.848991",猴鹰谷
"120.638186,28.246928",五星潭森林公园
0.0,灵江源漂流
"120.672946,30.749570",嘉欣丝绸园
0.0,安澜桥
"118.982803,30.037116",明妃七峰
0.0,于谦祠
"120.641084,27.433163",炎亭
"120.712595,28.261055",香樟花园
0.0,百步沙
"120.824751,27.906866",永昌堡
"119.017125,29.596319",梦姑塘文化公园
0.0,cutezoo动物文化乐园
"119.419467,30.307532",平天岭
"120.701704,28.267514",永嘉书院迎春音乐灯会
"120.180519,30.256866",新《印象莫奈：时光映迹艺术展》杭州站
"120.052098,29.707787",五洩漂流
0.0,蜜芽儿童乐园
"120.816816,29.588774",鹿山公园
"119.903039,27.359782",仕水矴步
"120.000181,27.470769",北涧桥
"120.488508,30.063130",金都水立方
0.0,大乘禅院
0.0,仪凤桥
"120.236320,29.713643",诸暨烈士纪念馆
"118.467754,28.259579",塘源口龙潭湾峡谷漂流
"120.792158,30.739048",嘉兴中港城
0.0,鹤屿山遗址
"120.580499,30.002612",大善塔
"119.710170,29.783334",桐庐海博水世界
"121.246014,30.135365",慈溪市圈圈杨梅生态观光园
"119.595147,30.609618",水岸枫情水上乐园
0.0,宰相源飞漂
"118.898796,28.824786",衢州九龙湖
"120.738449,28.247455",甸园漂流
"120.734917,28.336306",洞头岛景区
"120.075449,30.171822",未来世界
"120.050250,30.377667",良渚国家遗址公园
0.0,花溪香堤薰衣草庄园
0.0,南雁荡
"118.859457,28.970079",衢州小南海
"120.949724,30.513750",海盐历史文化风景区
"120.263439,29.164408",浙江艺术紫檀博物馆
"122.091347,30.108836",青青世界旅游区
"119.197760,27.889160",黄茅尖
"121.024059,30.701241",民俗风情馆
"120.750352,28.358544",苍坡溪门
"119.659581,30.588912",春山收藏馆
"121.379198,30.108838",慈溪杨梅采摘园
"120.155070,30.274084",杭州山果湾农庄
"120.022590,30.243298",西湖天地
0.0,华珂剧场
"121.560274,29.874568",江北天主教堂
"120.094626,30.341562",镭之战室内真人CS
"120.764380,30.742017",嘉兴市博物馆
0.0,武松墓
"120.620839,28.750912",高迁古民居
"120.586424,30.006381",题扇桥
"120.572197,30.004433",古越藏书楼
"121.551172,29.865958",天封塔
0.0,谢公道
"120.570175,30.480074",五福桥
"120.734917,28.336306",大楠溪景区
"121.550887,29.861081",观宗寺
0.0,秋瑾墓
"121.882837,29.484556",德和根艺美术馆
"122.327020,29.969601",普陀大剧院
"120.526962,27.454757",护法寺单檐塔
"120.121667,30.233506",双峰插云
"120.575132,30.002922",府山
"119.474882,29.226076",黄大仙故里
"120.935308,30.878307",嘉善木雕城
"120.356568,27.457974",天福生态园
0.0,千步金沙
0.0,林洋水乡
0.0,四季生态农业园
"119.972144,30.307954",苕源生态农庄恐龙公园
"120.382495,30.335852",杭州以法莲度假村
"120.736214,29.236805",乌石村
0.0,宋岙
0.0,九坛沟
0.0,Happy Key儿童梦想乐园
0.0,剑门索桥
0.0,老小孩室内实弹真人CS俱乐部
"120.748543,30.754877",沈钧儒纪念馆
"121.640845,29.907835",甬江
"120.336857,30.178944",浙江花木城
"119.659160,29.099554",天宁寺
"119.651692,29.101475",金华人民广场
0.0,金庭观
"120.682144,28.150591",永嘉郡祠
"119.296410,28.622786",含晖洞
0.0,贺知章秘监祠
0.0,中国博古红木馆
"119.874189,30.560248",裸心谷
"120.772836,27.927912",瑶溪
"120.306026,30.414840",中国江南水乡文化博物馆
"118.997971,27.656742",巾子峰
"120.631372,27.781611",玉海楼
"121.691596,29.446716",象山鲤龙潭森林公园
0.0,鹳山
"119.932532,28.457393",浙江民俗乐园
"120.682875,27.726504",绿健生态农庄
"121.131562,30.776238",金龙门生态休闲园
0.0,诗人小镇
"119.113283,28.064805",龙泉青瓷宝剑苑
"120.675356,30.527193",海宁谢氏艺术收藏馆
"120.161771,30.271463",红磨房演艺大舞台
0.0,碧坞龙潭
"120.523988,28.092948",西湾
"120.930720,30.211530",杭州湾海滨游乐园
"120.201810,30.233196",天堂伞
"120.518355,29.933509",印山越国王陵
"119.438024,28.460573",江南畲族风情村
"120.513518,30.663364",桐乡补农庄园
"120.759874,30.897667",莲泗荡
"120.853730,30.830955",周家庄园
0.0,九峰人民公园
"121.174931,30.188571",永淦古玩旅游区
"120.640472,27.773841",隆山公园
"120.705878,30.604210",圣莱特休闲农庄
"119.107930,28.059664",龙泉宝剑厂
"119.906030,28.459090",处州青瓷博物馆
"118.860347,28.940516",太真洞
0.0,台山寺
"121.174621,27.816820",南炮台山
0.0,太鹤山
"119.508164,29.227264",黄大仙赤松园
"120.549023,27.881892",桐溪风景区
"120.585867,30.634151",桐乡市博物馆
0.0,千年香榧林
"120.916182,30.841413",吴镇纪念馆
"119.360414,28.601224",长濂村
"119.911950,28.477967",白云瀑
"120.753125,29.920353",诸葛仙山
"120.865819,29.923224",东山湖
0.0,永民抗日自卫游击总队纪念馆
"121.017010,30.704379",福严佛教文化苑
"120.666455,27.930244",绿色乐园
0.0,金钉子
"120.986642,30.792040",嘉善拳王休闲农庄
"120.671353,30.560943",和田龙农庄
"119.690473,27.896820",草鱼塘
"118.520459,28.890615",东明湖公园
"120.444229,30.620422",丰子恺纪念馆
"122.264716,29.868720",蚂蚁岛
"118.977110,28.786917",关公山
"119.739413,28.238101",大山峰森林公园
"122.202602,29.701854",六横列岛
"121.426586,28.638757",宝石工业园
"120.775127,29.586538",丰泥假日庄园
0.0,松阳双童积雪
"122.256094,28.880715",渔山岛
"120.692538,30.531284",西山公园
"120.326373,30.111197",王羲之纪念馆
"121.899605,28.486924",大陈岛
"122.797573,30.715756",嵊山枸杞景区
"121.543444,29.868981",月湖
"119.165397,30.035636",奥兰多水上乐园
"120.699366,27.994267",温州冰雪艺术节
"119.058080,29.003660",浙西大草原
"121.616839,28.255954",石塘出海捕鱼
"119.877420,31.066169",长兴花溪谷景区
"120.216122,30.251933",冰纷万象滑冰场
"121.319240,29.255010",浙东悬空大瀑布
"119.577980,30.361386",指南村
"121.180421,30.311769",杭州湾跨海大桥
"119.706998,29.769305",巴比松米勒庄园
"121.073218,29.926940",四明湖开元山庄
"119.777337,28.838242",三美卡丁车竞技游乐中心
"120.983081,29.740169",覆卮山度假村滑草场
"119.788191,31.141384",长兴农家乐
"121.887520,29.767500",洋沙山
"121.511986,29.839697",梁弄古镇
"121.005629,28.644192",两岸三度旅游度假区
"121.300468,29.815050",四明湖
"121.367688,28.589241",台州路桥奥普乐水上乐园
"120.984775,30.712577",伊佳林开心梦工场
"119.678683,29.684244",芦茨湾
0.0,釉泽彦岩陶艺馆（良渚店）
0.0,3D错觉艺术馆
"120.135336,30.277871",攀岩主义杭州馆
"119.482067,28.449028",石仓清代民居群
"121.550357,29.874556",宁波星空错觉艺术馆
0.0,谈香山千亩花海
"119.055370,29.609587",千岛湖排岭半岛绿道营地
"121.400136,28.646317",台州市体育中心冰雕艺术馆
"119.145735,29.607489",千岛湖燃擎赛车主题乐园
"121.961896,29.255867",半边山景区
"121.317068,29.984103",河姆渡古村落
"120.574981,27.859053",桐兴生态园
0.0,古道红枫
0.0,欢乐岛
"121.518370,29.525385",翡翠湾海洋公园
"121.391137,28.394813",台州温岭魔幻冰雪世界
"120.315985,30.297663",幸福烘焙DIY小馆
"120.191704,28.912471",石鼓寮影视城
0.0,洪氏宗祠
"122.358425,30.442643",衢山岛
"120.086823,30.894348",湖州飞鸿滑草场
"120.669815,28.018751",欧洲城飘雪大世界
"120.669476,28.017316",KH真人密室逃脱
"121.834333,29.889549",北黄金海岸
"121.382496,29.403525",雁苍山风景区
"121.574711,28.419284",箬横乡村跑马场
"119.551060,28.869720",金华龙潭大峡谷
"121.373324,28.578778",路桥乐园
"120.125461,30.239580",茅家埠
"119.762657,30.380214",径山
"120.090889,28.780027",永康光瑶生态观光园
"120.103701,29.416576",齐庐山
"121.845601,29.383093",象山民俗文化村
"119.920042,30.591427",蚕乐谷
0.0,海上泸定桥
0.0,南宋皇城遗址
"120.705544,27.910005",茶山丁岙杨梅采摘
"120.007857,30.402752",西塘村
"118.990980,30.085508",临安大明山大自然农家乐
0.0,3D魔幻艺术馆
"121.359530,28.658310",蓝色水世界
0.0,寿堤
"120.528466,28.280688",茗岙
"120.659144,28.009288",老船长密室逃脱
0.0,奇异世界3D艺术馆
"121.303491,28.294330",温岭新概念游泳会所
"119.053800,29.596116",千岛湖海外海假日酒店自助晚餐
"120.094626,30.341562",湘湖真人CS
"120.761252,30.747539",南湖革命纪念馆
"121.743445,29.846893",阿育王寺
"121.451511,28.302286",吉捕岙沙滩
"121.550357,29.874556",宁波梅山湾
0.0,天龙九瀑
"120.212606,30.239440",杭州泛海钓鱼台酒店
"120.174618,29.416489",黄山漂流
"120.580232,30.029752",绍兴3D艺术节
"120.166812,30.240673",高银街
"119.709775,30.240448",竹林迷宫
0.0,恺玥真人CS基地
"119.961288,30.129510",西溪草堂
"119.689262,29.798308",桐庐鸬鹚湾
"120.143370,30.207889",中国杭帮菜博物馆
"122.323867,29.971760",普陀山至上海慢船
"120.166493,30.191879",水晶城冰雕艺术节
"119.856191,28.389449",玫瑰花海灯光节
"120.707929,28.001141",攀岩主义温州馆
"119.132566,29.638586",千岛湖汪家葡萄采摘园
"120.203038,30.287745",万事利
0.0,密室探险鬼屋
"119.875056,28.639307",西溪
"120.406860,30.278458",萧山钱江观潮城
0.0,云泉约奶山羊牧场
"120.175702,30.301593",众安温泉浴场
0.0,门萨密室逃脱
"120.827465,27.910172",龙湾万达创意冰雕展
0.0,80天环游世界自然人文主题乐园
"119.109630,29.206773",三门源
"120.218125,29.015178",永康龙川文化园
"120.803950,30.893376",天凝古镇
0.0,清韵里水上乐园
"120.124540,30.278663",杭州钱塘弓社射箭俱乐部
